forecast_time,issue_time,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,ahead_factor,avg_actual
2018-08-29T14:00:00.0,2018-08-28T12:00:00.0,632.9841293296454,702.4746470168252,704.3979520494975,825.3677396929879,840.8511024758311,999.6045253044961,1038.818626165387,1067.7999365425135,1070.376010842299,1072.1071270048792,1082.1861506258583,1155.5026901257154,1180.5007371380154,1216.5092115834732,1367.293222908659,1395.2282035049247,1405.4150888059237,1414.1106288805497,1423.5056718255144,1432.0719275342642,1491.8711798305892,1507.7689920163045,1526.9870238817891,1537.7052246616126,1598.119098130961,1662.0960621122,1746.4742468082186,1758.8544267186094,1762.434305438349,1762.6842706227783,1827.528948248705,1842.9287534708067,1874.2652805850717,1916.3374447255942,1917.369263786789,1921.6819472112675,1927.9038438355497,1930.139350475851,1968.256305977649,2002.8992375243547,2008.251116292525,2023.976157382876,2030.623059758163,2033.9930735202915,2054.291571434226,2099.5898172947273,2108.667133602061,2121.2227863274443,2216.843105654966,2225.2322624395306,2243.81848808402,2244.01539093376,2262.447408781993,2316.4616353238835,2345.878799751551,2366.1238638777513,2377.4818491020624,2396.881941061357,2441.488484565461,2481.8107394244257,2499.0178855126187,2511.1503991053555,2514.3877874284476,2516.074379999803,2594.2459410716447,2630.150758070916,2655.731891496126,2665.884706669556,2669.8311601065675,2688.549984466853,2714.160248896681,2726.1938323844997,2741.4490635385946,2752.1363268227333,2777.532568826788,2781.1399691439788,2862.325907751151,2872.7770064004058,2882.968937717318,2889.5466709927027,2970.868438487383,2986.456557709684,3048.054895394987,3102.436457598426,3123.6875555309307,3154.6738879382724,3158.8450684631744,3159.21772204961,3198.1355543670206,3205.856791143193,3243.4264807319114,3257.6122938933167,3270.6455457115208,3306.898859823854,3330.2486146813594,3350.687680849529,3391.3519323932705,3391.596992526881,3436.0533300400148,one,2868.7403745523775
2018-08-29T15:00:00.0,2018-08-28T12:00:00.0,643.9666156653857,881.8575201174485,1108.651790086341,1116.4378010366013,1167.6959787735536,1170.4908688150913,1199.0966317787424,1284.084093765078,1338.7084046764817,1354.211920702602,1418.266431430452,1505.9962683988256,1522.06255620092,1533.0450548525082,1533.4740830096578,1566.0723388590204,1568.326353132238,1635.4464654934761,1731.4802098941793,1733.9294512620224,1764.454694702116,1778.357573061092,1786.8827059500702,1806.1784966146156,1808.0186682975946,1836.3377471728738,1841.339080812877,1850.1131556035775,1878.8060406384466,1894.091190773415,1938.8192951994804,1939.6464547985738,1958.9982234744273,1992.581664140743,2019.9996543165837,2031.4719335637908,2073.009898868056,2082.003429860333,2082.594007387495,2144.5105367504275,2206.5821711309864,2228.1429669863655,2238.139628928172,2256.7439961668006,2307.7806376235326,2339.4819896516533,2354.35773032436,2388.611356259553,2471.0716663598814,2492.3297770943645,2498.1863641004097,2506.593251848976,2528.2792668584907,2537.011688356685,2551.469535908211,2576.5738246558208,2596.1638169351254,2603.320222318532,2608.996612338503,2629.694034281565,2653.6244676886954,2779.768570877166,2790.570457626534,2796.7761862268985,2810.906226220711,2829.066561352025,2884.6187746402275,2900.074358887036,2900.4578931121387,2909.9179997857636,2913.3926307524403,2927.5181562387456,2940.865361615309,2942.6033404631144,2944.9062352853607,2962.7283360034103,2998.8324312396553,3014.068823818229,3030.9886471838267,3031.591939971631,3038.874877079428,3043.9829604491497,3054.510814507142,3075.6770305082764,3089.559326527342,3107.8312418594887,3131.117094346974,3132.6899543409572,3138.1580666255227,3140.348928333029,3160.5890387039003,3169.0300866864372,3200.9182006995693,3203.1201771587985,3231.6532216606615,3279.8500670713443,3284.2390441710354,3309.1255770761395,3331.7868415030384,one,3452.6714489933197
2018-08-29T16:00:00.0,2018-08-28T12:00:00.0,671.169856475768,868.5004827203275,892.8725210697244,1077.5110186993024,1118.6727739434878,1194.5557617628742,1283.9451587809103,1296.5154982717195,1439.2191262728572,1566.1904082855413,1607.2015948740245,1694.518228886175,1739.6034809485373,1742.2064318672449,1752.9406311771945,1782.0813166436367,1803.5005294961034,1897.6678836552383,1952.9834915294061,1998.4218109084516,2018.3590577235746,2039.042301409782,2048.3178912593844,2056.4839847357425,2115.577434790571,2134.784812112559,2189.1515219503535,2265.2986343139664,2268.7333241199644,2287.423306739903,2296.4766856251845,2306.0804024491945,2311.388980484001,2338.0041810974644,2397.7008335090854,2423.603326999407,2494.2458884610874,2512.990150459197,2516.737559576959,2529.8459759431403,2535.146253492598,2545.6684122894644,2584.1295085314064,2637.973914475284,2650.933576992142,2684.8819648683716,2699.7874883070094,2715.3414479585645,2721.8984669376005,2787.308393017457,2808.9833653840824,2837.6227655261882,2877.1451277465762,2912.805532034403,2918.3452486248407,2933.899329959082,3070.939534282527,3076.791653713441,3079.8284730241344,3080.4769664553637,3102.368811949259,3116.5465949561276,3137.0623177549182,3142.7070528935214,3164.729605914644,3205.909638914508,3224.469671826308,3237.404915890442,3249.100412535887,3266.3912317816535,3284.1043494844566,3287.3142640477754,3363.28060766909,3376.7201155633043,3384.9422712413057,3393.4010139406364,3424.409587683861,3450.0092129767404,3485.225837829727,3489.749233340909,3490.0471338184548,3505.991265361893,3506.235396049831,3513.5050956045525,3545.0606866402654,3559.467335739648,3563.6450997609486,3568.450118644336,3637.9404487394745,3639.7866103736806,3641.675999122423,3653.6361046941765,3706.2989549250487,3753.533552949308,3754.3427044623477,3792.4763030929116,3832.1223815748176,3838.5731110587817,3919.995407432608,one,3602.9982622663233
2018-08-29T17:00:00.0,2018-08-28T12:00:00.0,933.1408182499326,969.8313052387925,1017.0134414481331,1093.3595029809449,1128.552491953666,1226.5392849269788,1236.3723286053237,1437.4917077885293,1463.5096771414128,1520.3797747640592,1674.54002770014,1680.1490354844846,1685.3238992779447,1702.8658699517473,1761.2203198230877,1825.3264194848703,1854.2170551930485,1888.982786465819,1893.1429048616128,2010.9855264474531,2103.319291001587,2105.0533984914973,2149.8327780815935,2211.00061657716,2244.7433323146083,2327.1730185870438,2390.5949811389874,2401.527381210461,2632.058484019162,2671.367786581791,2736.17946464524,2777.367689129947,2799.7397914936882,2812.41941773805,2828.6200855863312,2842.876228707825,2862.7820115718614,2867.8364816746403,2870.2591677965133,2909.5093189552445,2910.0797447901773,2919.5458773777273,2959.5204184942368,3043.8939958207316,3055.6663055452086,3063.9079526420883,3139.3618951815215,3143.985367606894,3153.952358308303,3158.4462080447406,3179.1530376289247,3201.7443097210275,3234.0275478173,3274.2536969291277,3346.5001778713663,3354.294594385316,3397.7432943266695,3436.2053032208228,3567.1357015277476,3608.437269957353,3628.3753676919237,3629.3659662231767,3663.313991612796,3673.994432917496,3693.1469437825563,3743.115581221159,3783.9757115281677,3791.8110662872323,3793.341268812306,3802.683451980565,3817.49630306787,3834.576944787786,3856.6548231904058,3999.4021138421367,4011.2230178806394,4042.7527697552587,4070.4691764615727,4071.331661669595,4110.528059854772,4115.374674260731,4118.451099929738,4135.710073951404,4211.061492831745,4212.369683119721,4269.890996163659,4271.306633553693,4290.362086004712,4312.339158195277,4336.18640353358,4352.43719864719,4361.885326146313,4365.570480220235,4365.766363828173,4473.924978036724,4498.3786892155995,4507.6797341274605,4514.536843389482,4520.462151401283,4537.485352394739,one,4015.3241025907214
2018-08-29T18:00:00.0,2018-08-28T12:00:00.0,1489.8975025578939,1517.4823092977522,1586.207317408936,1631.7346887887925,1780.1536122346538,1847.5642304953717,1879.4234818896198,2030.4317637188833,2077.008480624799,2105.295552396826,2208.6951929852094,2415.3111143977103,2455.5654745976226,2480.1924153267564,2512.515255124241,2560.728135517482,2567.27603809669,2693.009214921792,2718.48942637744,2723.302648738865,2734.6881509255045,2769.257646198901,2832.5573562154277,2864.9520385166743,2892.4187846563573,2973.807491080568,2979.0104829163047,3071.41311758588,3091.5640533546425,3157.7214988547103,3160.980368507691,3235.9065983968635,3246.4432715544935,3301.9300086124726,3334.6068038181415,3409.9975467128957,3455.5102045941153,3472.463975645154,3486.561077059774,3507.15879109965,3580.2974190571927,3587.546300439522,3594.9959227077698,3604.888148031,3654.9646671283417,3704.5425991694387,3775.558925156911,3843.0256306172946,3909.228379628791,4070.092242275999,4083.3443723470173,4114.259932314794,4201.771564829802,4207.444041286979,4243.860375149713,4259.587003550537,4261.072169357405,4313.796523178218,4389.005117407554,4558.31846810018,4598.80818016718,4624.267867053548,4633.384571391326,4650.913474151241,4650.922959589599,4702.888667669924,4703.449740013783,4732.478300793513,4751.666587281657,4792.02970295587,4798.533676405466,4813.638758660742,4847.630729077914,4931.33223961427,4936.12555046886,4937.364896267249,4940.143769081013,4982.75109399178,4995.920522740598,5012.359835229918,5054.603470863612,5150.509063193071,5166.62060164678,5168.934946428923,5196.532631487032,5339.926586613652,5353.639996086385,5376.300336678248,5384.79084481188,5425.3547344293,5430.691199575588,5441.786759289086,5521.420847943542,5544.105013824864,5580.090363788286,5603.292704671954,5643.504893788968,5651.209615146432,5696.055949282083,one,4916.759954406578
2018-08-29T19:00:00.0,2018-08-28T12:00:00.0,2160.95193149233,2283.1564123171465,2307.6736049317324,2335.6983026694265,2369.225806434516,2420.5955262663515,2493.6722454133906,2536.1734218123916,2865.0678704593834,3002.0712063663964,3085.8524735270344,3195.9843230487118,3273.230013732908,3301.153155248287,3324.5158289432034,3436.858535846344,3520.3323417819165,3584.4531158582076,3586.3416102226606,3677.4016109600284,3683.3426833316566,3683.3840307268356,3734.7330996195597,3743.440537517303,3829.192064326902,3869.159241852813,3915.0138785754975,3926.866460079794,4030.6654121598194,4057.1882924311512,4057.211423420241,4127.1351873864405,4209.490927646901,4219.677087942411,4289.419500425003,4311.871404643251,4343.0602416087495,4467.300186554681,4507.286591457134,4542.642873361831,4600.303584663271,4614.385944730316,4617.142283338913,4722.325566688009,4765.784928939367,4798.844826466031,4890.035228076475,4892.103268791354,4895.612424349932,4920.426354029927,4960.949268477933,5236.472435695766,5237.338837599707,5255.335101343226,5257.289978488048,5274.209801074117,5317.363152391164,5393.818977139231,5476.439069567268,5497.349599480597,5535.176994467002,5670.640956163957,5680.948508453611,5700.629038679345,5720.2003624080135,5741.960260961918,5779.746109980928,5784.737937819516,5839.687097419571,5843.5509917726495,5867.90773592142,5883.496596293509,5890.2873507485165,5903.811230885069,5925.065599207094,5925.0846496466365,5963.229904597184,5985.829826061251,6001.823608228209,6014.01796240803,6072.054835462989,6089.13409249814,6136.309534985911,6187.572869482277,6213.675683779679,6222.719076594292,6225.902242593347,6273.046744622177,6287.6737500694935,6305.656922011219,6382.665137403401,6445.350669807641,6520.519717291179,6657.235851789248,6657.385309486209,6686.800626349634,6713.530487013755,6804.497939037546,6867.820238762964,one,7703.94082855936
2018-08-29T20:00:00.0,2018-08-28T12:00:00.0,3064.1780534193567,3243.090946887245,3327.8375324590615,3452.763325399912,3476.0420795092077,3502.6281868991036,3760.264483633965,3787.9565586351428,3822.4000415651026,4006.74782068858,4138.843690715105,4337.424265606589,4485.638210058401,4736.895601142734,4967.72478622455,5445.309497921176,5522.156331726884,5581.6608460751195,5790.607153130255,5838.13534674836,5934.710608529416,5982.7739701094815,6041.184882943973,6073.5330643737125,6095.596649807259,6194.664886842987,6299.463002833705,6361.529277340935,6366.386645675334,6407.145927744055,6422.5670597954395,6432.213910974261,6501.040378396112,6545.615964438046,6554.152232449256,6608.053698277775,6619.596789742323,6664.330775803748,6680.167449651085,6737.665101942079,6756.998290688999,6934.494815805792,6961.880343134995,7048.734618828488,7191.700859584564,7305.679574004223,7392.83279948382,7477.953384562158,7520.466316197724,7547.624084184725,7703.361571041847,7757.757665198329,7856.707277313535,7880.219543802987,7923.977198912378,7932.220563049136,8073.164010929324,8148.7154020426415,8382.025223717366,8462.910484374404,8517.145231881275,8522.074500831735,8526.442812573658,8548.723429974869,8578.666856440856,8651.971634448657,8657.954805757774,8863.119326073022,8984.167068019995,8988.751519392014,9028.802299500407,9144.567145540243,9147.539740495096,9178.063882785715,9196.185880269402,9209.501133789008,9376.391888264454,9511.510191465522,9610.875614450604,9734.403572526846,9781.861608774147,9792.500446427897,9815.286144012478,9826.36256782941,9853.607038667806,9899.69941096787,9976.704114076743,10001.092411308964,10008.866231758913,10070.366434168993,10113.101980855525,10159.341982548802,10354.463614534343,10413.17217336414,10467.76715441628,10481.388883333435,10513.404624751567,10599.927547512496,10656.400815789406,one,9859.39311500024
2018-08-29T21:00:00.0,2018-08-28T12:00:00.0,3030.653905008745,3141.0294191545327,3245.4328271385457,3434.401274430388,3561.6411906353296,3637.8435076770775,4100.140143290611,4109.1043962682925,4630.052674868924,4788.548335783997,4965.1221586184365,5104.755881316789,5781.743251471895,6062.3123497778615,6067.369464225481,6283.124195646371,6460.2094675871,6517.864218639556,6602.299968041256,6619.067426671589,6637.250639853742,6674.415615348857,6674.670717558962,6692.034865677943,6779.105974285497,6800.542339066857,6804.460938456215,6804.729041401235,6875.993700094392,6944.069602299045,6954.999368889543,7145.759848084739,7353.866190069125,7436.830381273288,7437.554151824085,7465.084762760027,7620.394756046764,7639.949365093675,7688.040899950012,7882.681205759292,7909.332676015631,7912.059608410502,7947.680842660118,7955.916360725672,7984.853597118137,7994.205457995761,8011.963965275287,8076.078788599716,8115.836628760632,8231.486760463424,8243.323690850011,8305.268875267859,8471.181712038539,8527.465639672908,8631.901188495463,8728.407888413054,9154.244828007737,9238.794376754475,9269.395070010636,9283.679402095233,9295.719955829003,9315.753833779398,9415.365020117806,9495.973026725007,9541.171715823732,9565.387737327355,9570.001438569421,9660.706300617187,9755.384155409622,9763.699303262227,9840.242493862816,9848.714892567641,9881.45580109836,9886.533875779516,9910.396855895402,9968.726653313319,10013.474912436523,10016.374909815573,10092.730523094104,10243.217856602132,10267.715747931057,10497.833441328921,10692.205559909848,10725.395738533241,10739.501781290704,10808.787319757857,10809.111398088991,10844.641845005732,11044.625845860206,11069.39279496561,11123.931337296983,11176.263191743617,11250.082793240137,11264.844794056118,11331.191460461618,11401.443896968962,11566.210624102629,11683.906117113902,11701.757759519784,one,11137.716603964624
2018-08-29T22:00:00.0,2018-08-28T12:00:00.0,2987.761948081041,3222.2655680499956,3670.9161654761665,3943.4349148956007,4282.808167725193,4299.889792318533,4350.308089890724,4543.328129278196,4662.866530272954,4920.646591252024,5341.106958960805,5447.44760224602,5455.707437712724,5486.623310144101,5520.656810545331,5709.741275171281,5922.219281073447,5972.855750604712,5997.272778625518,6222.592073658366,6233.312725352182,6276.546581079344,6358.396970073062,6417.102198775913,6452.22222333512,6516.696581934518,6623.203150638037,6746.753395332658,6839.730642463987,6975.697673299956,7072.97999676439,7189.5820747802545,7456.555479966739,7480.041550840059,7537.906974521289,7596.315193054889,7618.734698117373,7674.139593196194,7703.4106666532425,7746.792353539076,7795.301308370537,7888.17192803037,7903.918428880685,7934.657089407705,7976.625937684694,7989.506273521751,7992.376849888635,7993.80929890433,8035.633054962129,8270.415085185243,8328.979734440454,8375.462412116525,8382.670891657523,8383.967428348245,8452.357450203996,8602.307728616357,8684.554403505006,8687.873932593375,9095.543745893854,9162.484048653381,9272.780042045386,9330.486265939646,9359.13051614518,9407.34535790085,9534.913964452382,9540.589307317046,9629.22453378659,9649.943249212083,9751.072801875973,9765.271333180157,9890.924541807295,10071.56295695465,10416.322850382236,10474.444751022245,10480.875007112749,10625.921337364844,10663.911639382019,10712.031971440429,10727.303508326142,10757.839861020726,10832.310977261866,10882.369577843952,11058.284907205787,11090.732850267103,11113.646254991187,11115.859312290851,11177.114419425403,11185.88063598417,11230.378881867566,11234.97854123489,11244.053253482538,11308.80953772099,11468.444578943927,11559.779046312451,11610.116869998425,11686.293365492567,11724.770231185781,11866.71513452557,11898.472070274509,one,11622.64249341521
2018-08-29T23:00:00.0,2018-08-28T12:00:00.0,3473.9347120122875,3564.3428898554866,3604.365342841582,3687.9572412441976,3963.8125957842294,3969.6294399001836,4153.928589292325,4345.327939230051,4446.706776724735,4590.339080209593,4651.482770815209,4713.012999074756,4902.851941259749,4918.192845324933,4923.534638958547,5241.870763204749,5371.732856221933,5572.446750344295,5753.84817047083,6066.527365641201,6113.193083176403,6428.5447917242045,6665.12167545071,6703.491804606738,6960.369721646423,6987.240235294249,7213.299680739726,7334.441183126955,7382.382640786861,7458.556671191221,7505.620289619662,7521.985278085838,7831.12195430833,7859.763021969031,7910.634983240201,7925.438849228138,8050.244578675778,8279.243482468857,8313.087541878278,8321.059187787137,8418.977280766585,8683.94037081399,8794.687903560556,8965.524642694158,8999.78670866223,9058.933541742452,9070.965063077805,9173.413585718752,9198.856421791043,9199.57565178529,9320.945711098519,9331.629497554866,9385.680034140525,9594.94960531295,9595.39635562423,9666.467342004129,9722.557432988213,9730.143772991725,9861.67486804396,9959.849957386392,10096.561424989264,10312.219193174966,10322.710446485034,10410.404206232472,10413.02164251103,10463.511101938202,10607.148425830495,10610.270812210489,10947.096264004665,10947.842952715544,11052.287920971405,11058.517189679138,11154.38210168869,11208.088962330607,11214.948186825792,11232.710328969493,11343.353255858407,11386.785001009841,11477.172222313946,11529.848523922625,11576.644694370303,11626.409596074327,11753.490748301163,11841.493079685873,11960.605002394346,11988.693677296276,12002.601782715572,12191.935873581322,12300.558035049968,12310.516949406241,12357.963537626609,12400.423150142035,12494.024718540293,12528.641724729287,12576.013623449233,12603.970720703339,12706.114752281046,12735.106620596584,12794.616983201853,one,11846.916205655814
